genera,Genera Count,Contigs 500,Contigs 1K,Contigs 3K,Contigs 5K,Contigs 10K
Mycobacterium,293,36058,17961,5879,3473,1675
Pseudomonas,135,17499,8716,2874,1690,812
Enterobacteria,130,19679,9806,3228,1909,917
Staphylococcus,105,12631,6288,2061,1211,1076
Bacillus,105,22549,11248,3713,2203,592
Escherichia,80,15381,7669,2531,1504,725
Salmonella,77,13009,6484,2137,1261,613
Propionibacterium,69,4013,1995,620,345,370
Gordonia,68,8064,4009,1311,775,138
Lactococcus,54,4128,2050,665,388,182
Vibrio,51,6162,3066,1006,589,153
Streptococcus,46,3441,1708,555,325,168
Lactobacillus,42,3774,1876,610,356,278
Synechococcus,41,12447,6217,2062,1228,603
Clostridium,40,3645,1813,588,344,160
Klebsiella,30,5232,2608,860,277,130
Burkholderia,30,2916,1450,474,507,248
Acinetobacter,28,3928,1955,640,379,132
Enterococcus,27,2870,1425,467,277,185
Listeria,25,3763,1875,615,366,176
Erwinia,22,6474,3231,1072,637,312
Streptomyces,21,2225,1109,362,215,103
Shigella,20,4288,2137,704,420,206
Ralstonia,20,2110,1050,342,202,148
Cellulophaga,18,2135,1063,350,206,138
Citrobacter,17,3206,1599,529,287,98
Yersinia,17,2958,1474,485,310,191
Cronobacter,16,4040,2015,665,394,74
Flavobacterium,15,1650,820,270,157,227
Aeromonas,15,4622,2306,763,456,60
Bacteriophage,14,1340,666,217,128,26
Leuconostoc,13,713,353,112,65,96
Rhodococcus,12,1451,723,238,139,65
Cyanophage,12,2562,1278,421,251,122
Prochlorococcus,10,3519,1759,583,348,172
Enterobacter,10,1188,592,194,115,56
Pectobacterium,9,1430,714,234,9,68
Caulobacter,9,3162,1577,522,139,44
Coliphage,9,105,52,16,78,153
Xanthomonas,9,841,417,135,64,37
Mycobacteriophage,8,960,478,157,92,27
Stenotrophomonas,8,671,333,109,311,40
Rhizobium,7,1209,603,199,118,104
Arthrobacter,7,701,349,114,63,31
Pseudoalteromonas,7,661,328,108,67,31
Paenibacillus,7,597,297,96,211,57
Campylobacter,7,2142,1068,354,57,48
Achromobacter,7,861,429,142,83,23
Mannheimia,6,508,252,82,89,43
Thermus,6,1013,506,166,48,63
Brevibacillus,6,915,456,151,98,41
Sinorhizobium,5,1315,656,216,129,30
Proteus,5,870,433,141,84,16
Edwardsiella,4,340,169,55,53,24
Spiroplasma,4,52,25,7,30,16
Helicobacter,4,206,102,32,33,25
Rhodobacter,4,318,159,52,19,8
Pelagibacter,4,526,262,87,32,14
Phormidium,4,340,169,55,50,22
Tsukamurella,4,539,269,88,3,17
Oenococcus,3,270,135,44,46,3
Mycoplasma,3,91,44,14,52,12
Morganella,3,481,240,79,8,9
Serratia,3,734,366,121,19,12
Roseophage,3,374,186,61,26,11
Haemophilus,3,201,100,32,24,35
Delftia,3,537,268,88,23,25
Brucella,3,251,125,40,72,11
Uncultured,3,223,111,35,35,19
Xylella,3,247,122,40,24,11
Chlamydia,3,27,12,3,40,8
Enterobacterial,3,247,123,40,23,8
Sulfitobacter,3,246,122,40,16,9
Bdellovibrio,3,146,72,23,18,32
Brochothrix,3,410,204,67,20,43
Croceibacter,2,175,87,28,65,6
Parabacteroides,2,19,9,2,88,6
Pantoea,2,175,87,28,13,8
Clavibacter,2,230,114,37,12,6
Sodalis,2,194,97,32,17,10
Polaribacter,2,196,97,32,13,8
Bacteroides,2,183,91,29,21,9
Acholeplasma,2,31,15,4,22,30
Microcystis,2,662,331,110,16,16
Microbacterium,2,210,105,34,19,7
Dickeya,2,614,307,101,61,6
Shewanella,2,920,458,151,34,6
Weissella,2,134,66,22,15,3
Stx,2,359,178,58,13,6
Geobacillus,2,147,73,24,12,3
Liberibacter,2,157,78,25,11,3
Idiomarinaceae,2,142,70,23,13,21
Vibriophage,1,79,39,13,7,1
Verrucomicrobia,1,65,32,10,6,9
Yellowstone,1,154,76,24,43,4
Rhodoferax,1,72,36,12,3,5
Rhodothermus,1,259,129,43,8,12
Sphingomonas,1,438,219,73,8,3
Rhodovulum,1,77,38,12,7,4
Riemerella,1,98,49,16,25,4
Roseobacter,1,125,62,20,7,4
Ruegeria,1,119,59,19,7,6
Salinivibrio,1,98,49,16,8,4
Salisaeta,1,87,43,14,9,4
Thalassomonas,1,74,37,12,12,3
Tetrasphaera,1,98,49,16,9,1
Stxconverting,1,120,60,20,9,5
Streptomyce,1,80,40,13,2,3
Sputnik,1,36,18,6,11,3
Thermoanaerobacterium,1,83,41,13,2,16
Methanothermobacter,1,62,31,10,7,3
Puniceispirillum,1,110,55,18,33,3
Chimpanzee,1,29,14,3,6,8
Haloarcula,1,61,30,10,6,7
Guinea,1,9,4,1,17,4
Erysipelothrix,1,69,34,11,15,7
Enterobacteriaphage,1,175,87,29,9,10
Dragonflyassociated,1,8,4,1,14,3
Dinoroseobacter,1,150,75,25,20,4
Deepsea,1,98,49,16,7,6
Corynebacterium,1,141,70,23,7,37
Colwellia,1,209,104,34,8,4
Celeribacter,1,77,38,12,12,10
Psychrobacter,1,71,35,11,74,6
Bordetella,1,84,42,14,8,3
Azospirillum,1,124,62,20,20,5
Aureococcus,1,741,370,123,13,1
Anabaena,1,83,41,13,7,7
Alteromonas,1,207,103,34,11,1
Agrobacterium,1,138,69,23,3,4
Acyrthosiphon,1,73,36,12,15,8
Actinoplanes,1,117,58,19,3,5
Actinomyces,1,34,17,5,9,9
Halocynthia,1,334,167,55,7,1
Halomonas,1,78,39,13,11,3
Halorubrum,1,155,77,25,19,3
Hydrogenobaculum,1,38,19,6,3,3
Providencia,1,116,58,19,7,4
Planktothrix,1,190,95,31,7,4
Phaeocystis,1,39,19,6,6,5
Persicivirga,1,71,35,11,8,3
Pediococcus,1,76,38,12,1,4
Pasteurella,1,61,30,10,9,3
Paracoccus,1,84,42,14,16,2
Nocardia,1,92,46,15,11,4
Nitrincola,1,164,82,27,9,3
Natrialba,1,116,58,19,6,3
Myxococcus,1,99,49,16,5,4
Methanobacterium,1,52,26,8,9,1
Mesorhizobium,1,91,45,15,6,1
Marinomonas,1,63,31,10,7,
Listonella,1,75,37,12,8,
Lelliottia,1,88,44,14,3,
Lactoccocus,1,37,18,6,3,
Kluyvera,1,78,39,13,,
Iodobacteriophage,1,94,47,15,,
Zamilon,1,34,17,5,,
